v8-version,11,8,172,15,-node.14,0
v8-platform,linux,linux
new,CodeRange,0x7fd7bafc0000,0
new,MemoryChunk,0x13c6fa100000,262144
new,MemoryChunk,0x8341a7c0000,262144
new,MemoryChunk,0x1e6496e80000,262144
new,MemoryChunk,0x38f702280000,262144
new,MemoryChunk,0xcd585800000,262144
heap-capacity,1031008
heap-available,2198828736
new,MemoryChunk,0x145837200000,262144
new,MemoryChunk,0x3e2a13980000,270336
new,MemoryChunk,0x2997dc340000,262144
new,MemoryChunk,0x2fe949100000,262144
new,MemoryChunk,0x2f25b4c80000,262144
new,MemoryChunk,0x3e796eb40000,262144
new,MemoryChunk,0x3f155f3c0000,262144
new,MemoryChunk,0x11f1c3040000,262144
new,MemoryChunk,0x3938ae580000,262144
new,MemoryChunk,0x3b76b0ec0000,262144
new,MemoryChunk,0x1aac9e680000,262144
new,MemoryChunk,0x41b71280000,262144
new,MemoryChunk,0x7fd7bafc0000,262144
new,MemoryChunk,0x7fd7bb000000,262144
new,MemoryChunk,0x39f8bd640000,262144
new,MemoryChunk,0x3b3767480000,262144
new,MemoryChunk,0x2ad753e40000,262144
new,MemoryChunk,0xcc52fc80000,262144
new,MemoryChunk,0x61beb640000,262144
new,MemoryChunk,0x28dab00000,262144
new,MemoryChunk,0xf68f4f40000,262144
new,MemoryChunk,0x3ab97a880000,262144
new,MemoryChunk,0x3c5df6c0000,262144
new,MemoryChunk,0xe4e3d40000,262144
new,MemoryChunk,0x13f8c6980000,262144
new,MemoryChunk,0x28b271040000,262144
new,MemoryChunk,0x364c7ac00000,262144
new,MemoryChunk,0x6858fe40000,262144
new,MemoryChunk,0x28edccac0000,262144
new,MemoryChunk,0x11f252400000,262144
new,MemoryChunk,0x1493245c0000,262144
new,MemoryChunk,0x15b199480000,262144
new,MemoryChunk,0x331badcc0000,262144
new,MemoryChunk,0x2560c43c0000,262144
new,MemoryChunk,0x1ae2ea840000,262144
new,MemoryChunk,0x15ea6f040000,262144
new,MemoryChunk,0x1d363b380000,262144
new,MemoryChunk,0x3a697bfc0000,262144
new,MemoryChunk,0x2ab69c740000,262144
new,MemoryChunk,0x35c8cddc0000,262144
new,MemoryChunk,0x37a4c9040000,143360
new,MemoryChunk,0x1c66c4600000,159744
new,MemoryChunk,0x2b5532400000,262144
